feature,Q1,Q3,IQR,lower_bound,upper_bound,outliers_count,outliers_pct,min_value,max_value
DebtRatio,0.17507383225,0.86825377325,0.6931799409999999,-0.8646960792499998,1.9080236847499998,31311,20.874000000000002,0.0,329664.0
NumberOfTime30-59DaysPastDueNotWorse,0.0,0.0,0.0,0.0,0.0,23982,15.988,0.0,98.0
NumberOfDependents,0.0,1.0,1.0,-1.5,2.5,13336,9.129494235877214,0.0,20.0
NumberOfTimes90DaysLate,0.0,0.0,0.0,0.0,0.0,8338,5.558666666666666,0.0,98.0
NumberOfTime60-89DaysPastDueNotWorse,0.0,0.0,0.0,0.0,0.0,7604,5.069333333333334,0.0,98.0
MonthlyIncome,3400.0,8249.0,4849.0,-3873.5,15522.5,4879,4.056739475675361,0.0,3008750.0
NumberOfOpenCreditLinesAndLoans,5.0,11.0,6.0,-4.0,20.0,3980,2.6533333333333333,0.0,58.0
NumberRealEstateLoansOrLines,0.0,2.0,2.0,-3.0,5.0,793,0.5286666666666667,0.0,54.0
RevolvingUtilizationOfUnsecuredLines,0.029867442,0.5590462475,0.5291788055,-0.7639007662499999,1.35281445575,763,0.5086666666666666,0.0,50708.0
age,41.0,63.0,22.0,8.0,96.0,46,0.03066666666666667,0.0,109.0
