,dtype,count,missing,missing_%,unique,mean,std,min,q25,median,q75,max,skewness,kurtosis
SeriousDlqin2yrs,int64,150000,0,0.0,2,0.06684,0.24974553092870277,0.0,0.0,0.0,0.0,1.0,3.4688570716991483,10.03310315840819
RevolvingUtilizationOfUnsecuredLines,float64,150000,0,0.0,125728,6.048438054666888,249.75537062543177,0.0,0.029867442,0.154180737,0.5590462475,50708.0,97.63157448571562,14544.713409749766
age,int64,150000,0,0.0,86,52.295206666666665,14.77186586310081,0.0,41.0,52.0,63.0,109.0,0.18899454512676198,-0.4946688326403583
NumberOfTime30-59DaysPastDueNotWorse,int64,150000,0,0.0,16,0.4210333333333333,4.192781272017265,0.0,0.0,0.0,0.0,98.0,22.597107559201046,522.3765448719934
DebtRatio,float64,150000,0,0.0,114194,353.00507576386985,2037.8185231443026,0.0,0.17507383225,0.366507841,0.86825377325,329664.0,95.15779286552785,13734.288858232952
MonthlyIncome,float64,120269,29731,19.82,13594,6670.221237392844,14384.674215282244,0.0,3400.0,5400.0,8249.0,3008750.0,114.0403179452332,19504.705403466472
NumberOfOpenCreditLinesAndLoans,int64,150000,0,0.0,58,8.45276,5.145950989645247,0.0,5.0,8.0,11.0,58.0,1.2153137802048144,3.09106674575075
NumberOfTimes90DaysLate,int64,150000,0,0.0,19,0.26597333333333334,4.1693037875989925,0.0,0.0,0.0,0.0,98.0,23.087345471932874,537.7389446058328
NumberRealEstateLoansOrLines,int64,150000,0,0.0,28,1.01824,1.1297709848819713,0.0,0.0,1.0,2.0,54.0,3.482483993516935,60.476807648439966
NumberOfTime60-89DaysPastDueNotWorse,int64,150000,0,0.0,13,0.24038666666666667,4.155179420982588,0.0,0.0,0.0,0.0,98.0,23.33174311951399,545.6827435442082
NumberOfDependents,float64,146076,3924,2.62,13,0.7572222678605657,1.1150860714872997,0.0,0.0,0.0,1.0,20.0,1.5882423788858833,3.0016568114621105
