Feature,Mean_Class_0,Mean_Class_1,T_Statistic,P_Value,Significant
age,52.751375255404575,45.92659086375424,44.98881115466734,0.0,Yes ✓
NumberOfTime30-59DaysPastDueNotWorse,0.2801091631302956,2.3884899261919013,-49.02746731442331,0.0,Yes ✓
NumberOfTimes90DaysLate,0.13522511323531514,2.0913624576102134,-45.696014956993466,0.0,Yes ✓
NumberOfTime60-89DaysPastDueNotWorse,0.12666638089930987,1.8280470775982445,-39.813916951443844,0.0,Yes ✓
NumberOfDependents,0.7434173340478165,0.9482075759114451,-17.618041605247413,2.1137912589444215e-69,Yes ✓
NumberOfOpenCreditLinesAndLoans,8.493620243759555,7.88230600438859,11.495571006895155,1.4302100220655153e-30,Yes ✓
MonthlyIncome,6747.837774322682,5630.82649276056,6.8489986792288695,7.472397650454507e-12,Yes ✓
DebtRatio,357.1511677387187,295.12106637951956,2.944353801328611,0.0032367943065993994,Yes ✓
NumberRealEstateLoansOrLines,1.0203680683555518,0.9885298224615998,2.7259000780720557,0.00641338495551837,Yes ✓
RevolvingUtilizationOfUnsecuredLines,6.168855226146491,4.367281745003391,0.6977154003052586,0.485356276616568,No ✗
