Feature,Mean,Std
RevolvingUtilizationOfUnsecuredLines,-0.0,1.000004
age,0.0,1.000004
NumberOfTime30-59DaysPastDueNotWorse,-0.0,1.000004
DebtRatio,-0.0,1.000004
MonthlyIncome,0.0,1.000004
NumberOfOpenCreditLinesAndLoans,0.0,1.000004
NumberOfTimes90DaysLate,-0.0,1.000004
NumberRealEstateLoansOrLines,-0.0,1.000004
NumberOfTime60-89DaysPastDueNotWorse,-0.0,1.000004
NumberOfDependents,-0.0,1.000004
TotalLatePayments,0.0,1.000004
HasLatePayment,-0.0,1.000004
IncomePerDependent,0.0,1.000004
EstMonthlyDebt,0.0,1.000004
HighDebt,0.0,1.000004
AgeBin,0.0,1.000004
HighCreditUtil,-0.0,1.000004
